"id","active","name","keyword","slug","description","ParentId","icon","picture","otc_id","ProviderType","IconImageUrl","ApproxWeight","is_top","user_id","created_at","updated_at","deleted_at"
"533","2021-10-04 10:50:05","Squash rackets","Squash rackets","squash-rackets",NULL,"otc-1325",NULL,NULL,"otc-1327","Taobao",NULL,"0.4",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"534","2021-10-04 10:50:05","Strings for rackets","Strings for rackets","strings-for-rackets",NULL,"otc-1325",NULL,NULL,"otc-1328","Taobao",NULL,"1",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"535","2021-10-04 10:50:05","Shoes for squash","Shoes for squash","shoes-for-squash",NULL,"otc-1325",NULL,NULL,"otc-1329","Taobao",NULL,"0.8",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"536","2021-10-04 10:50:05","Other","Other","other",NULL,"otc-1325",NULL,NULL,"otc-1330","Taobao",NULL,"0.9",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"537","2021-10-04 10:50:05","Bowling","Bowling","bowling",NULL,"otc-1174",NULL,NULL,"otc-1331",,"https://data.otcommerce.com/public/catalog/picture/sportivnye-tovary/bouling.png",NULL,NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"538","2021-10-04 10:50:05","Balls, bowling","Balls, bowling","balls-bowling",NULL,"otc-1331",NULL,NULL,"otc-1332","Taobao",NULL,"5",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"539","2021-10-04 10:50:05","Bowls Bottles","Bowls Bottles","bowls-bottles",NULL,"otc-1331",NULL,NULL,"otc-1333","Taobao",NULL,"7.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"540","2021-10-04 10:50:05","Bowling shoes","Bowling shoes","bowling-shoes",NULL,"otc-1331",NULL,NULL,"otc-1334","Taobao",NULL,"1.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"541","2021-10-04 10:50:05","Bags for bowling","Bags for bowling","bags-for-bowling",NULL,"otc-1331",NULL,NULL,"otc-1335","Taobao",NULL,"0.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"542","2021-10-04 10:50:05","Children's bowling","Children's bowling","childrens-bowling",NULL,"otc-1331",NULL,NULL,"otc-1336","Taobao",NULL,"3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"543","2021-10-04 10:50:05","Other","Other","other",NULL,"otc-1331",NULL,NULL,"otc-1337","Taobao",NULL,"0.5",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"544","2021-10-04 10:50:05","Swimming","Swimming","swimming",NULL,"otc-1174",NULL,NULL,"otc-1338",,"https://data.otcommerce.com/public/catalog/picture/sportivnye-tovary/plavanie.png",NULL,NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"545","2021-10-04 10:50:05","Bikini","Bikini","bikini",NULL,"otc-1338",NULL,NULL,"otc-1339","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"546","2021-10-04 10:50:05","Two-piece swimsuits","Two-piece swimsuits","two-piece-swimsuits",NULL,"otc-1338",NULL,NULL,"otc-1340","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"547","2021-10-04 10:50:05","Swimsuits","Swimsuits","swimsuits",NULL,"otc-1338",NULL,NULL,"otc-1341","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"548","2021-10-04 10:50:05","Men's swimming trunks","Men's swimming trunks","mens-swimming-trunks",NULL,"otc-1338",NULL,NULL,"otc-1342","Taobao",NULL,"0.08",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"549","2021-10-04 10:50:05","Swimming suits for children","Swimming suits for children","swimming-suits-for-children",NULL,"otc-1338",NULL,NULL,"otc-1343","Taobao",NULL,"0.14",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"550","2021-10-04 10:50:05","Beachwear","Beachwear","beachwear",NULL,"otc-1338",NULL,NULL,"otc-1344","Taobao",NULL,"0.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"551","2021-10-04 10:50:05","Family swimwear kits","Family swimwear kits","family-swimwear-kits",NULL,"otc-1338",NULL,NULL,"otc-1345","Taobao",NULL,"0.6",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"552","2021-10-04 10:50:05","Pareos","Pareos","pareos",NULL,"otc-1338",NULL,NULL,"otc-1346","Taobao",NULL,"0.2",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"553","2021-10-04 10:50:05","Goggles","Goggles","goggles",NULL,"otc-1338",NULL,NULL,"otc-1347","Taobao",NULL,"0.3",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
"554","2021-10-04 10:50:05","Swimming caps","Swimming caps","swimming-caps",NULL,"otc-1338",NULL,NULL,"otc-1348","Taobao",NULL,"0.1",NULL,"1","2021-10-04 10:50:05","2021-10-04 10:50:05",NULL
